"No","Species","Weight","Length1","Length2","Length3","Height","Width","Sex"
1,"Common Bream",430,26.5,29,34,36.6,15.1,NA
2,"Roach",390,29.5,31.7,35,27.1,15.3,NA
3,"Perch",700,34,36,38.3,27.7,17.6,"female"
4,"Pike",430,35.5,38,40.5,18,11.3,NA
5,"Common Bream",725,31.8,35,40.9,40,14.8,"male"
6,"Pike",300,31.7,34,37.8,15.1,11,"female"
7,"Whitefish",1000,37.3,40,43.5,28.4,15,NA
8,"Perch",820,36.6,39,41.3,30.1,17.8,NA
9,"Perch",300,25.2,27.3,28.7,29,17.9,"female"
10,"Common Bream",720,32,35,40.6,40.3,15,NA
11,"Common Bream",500,28.5,30.7,36.2,39.3,13.7,NA
12,"Pike",456,40,42.5,45.5,16,9.5,NA
13,"Common Bream",850,32.8,36,41.6,40.6,14.9,NA
14,"Perch",188,22.6,24.6,26.2,25.7,15.9,NA
15,"Pike",567,43.2,46,48.7,16,10,"female"
16,"Common Bream",600,29.4,32,37.2,41.5,15,NA
17,"Pike",950,48.3,51.7,55.1,16.2,11.2,NA
18,"Common Bream",700,31.9,35,40.5,40.1,13.8,NA
19,"Pike",1600,56,60,64,15,9.6,NA
20,"Pike",300,32.7,35,38.8,15.3,11.3,NA
21,"Common Bream",390,27.6,30,35,36.2,13.4,NA
22,"Perch",1000,40.2,43.5,46,27.4,17.7,"male"
23,"Perch",120,20,22,23.5,26,14.5,"female"
24,"Perch",320,27.8,30,31.6,24.1,15.1,"female"
25,"Roach",169,22,24,27.2,27.7,14.1,NA
26,"Perch",100,16.2,18,19.2,27.2,17.3,NA
27,"Smelt",13.4,11.7,12.4,13.5,18,9.4,"female"
28,"Common Bream",450,27.6,30,35.1,39.9,13.8,NA
29,"Silver Bream",145,19.8,21.5,24.1,40.4,13.1,"female"
30,"Pike",510,40,42.5,45.5,15,9.8,NA
31,"Smelt",7.5,10,10.5,11.6,17,10,"female"
32,"Smelt",9.7,10.4,11,12,18.3,11.5,"female"
33,"Perch",900,37,40,42.5,27.6,17,"female"
34,"Silver Bream",120,17.5,19,21.3,39.4,13.7,"male"
35,"Perch",1100,39,42,44.6,28.7,15.4,"female"
36,"Perch",130,19.3,21.3,22.8,28,15.5,"female"
37,"Common Bream",920,35,38.5,44.1,40.9,14.3,"female"
38,"Smelt",9.9,11.3,11.8,13.1,16.9,8.9,"female"
39,"Roach",69,16.5,18.2,20.3,26.1,13.9,NA
40,"Silver Bream",55,13.5,14.7,16.5,41.5,14.1,NA
41,"Roach",40,12.9,14.1,16.2,25.6,14,NA
42,"Silver Bream",60,14.3,15.5,17.4,37.8,13.3,"male"
43,"Silver Bream",150,18.4,20,22.4,39.7,14.7,NA
44,"Pike",500,42,45,48,14.5,10.2,NA
45,"Silver Bream",140,19,20.7,23.2,36.8,14.2,NA
46,"Smelt",8.7,10.8,11.3,12.6,15.7,10.2,"male"
47,"Common Bream",700,30.4,33,38.3,38.8,13.8,"male"
48,"Perch",900,36.5,39,41.4,26.9,18.1,"female"
49,"Perch",150,21,23,24.5,21.3,14.8,NA
50,"Common Bream",1000,33.5,37,42.6,44.5,15.5,"female"
51,"Common Bream",955,35,38.5,44,41.1,14.3,NA
52,"Smelt",19.9,13.8,15,16.2,18.1,11.6,"female"
53,"Perch",130,20,22,23.5,26,15,NA
54,"Smelt",10,11.3,11.8,13.1,16.9,9.8,"male"
55,"Roach",78,17.5,18.8,21.2,26.3,13.7,NA
56,"Roach",140,21,22.5,25,26.2,13.3,NA
57,"Common Bream",575,31.3,34,39.5,38.3,14.1,"male"
58,"Perch",120,20,22,23.5,24,15,NA
59,"Perch",51.5,15,16.2,17.2,26.7,15.3,NA
60,"Smelt",12.2,11.5,12.2,13.4,15.6,10.4,"female"
61,"Perch",218,25,26.5,28,25.6,14.8,NA
62,"Pike",1650,59,63.4,68,15.9,11,"female"
63,"Perch",78,16.8,18.7,19.4,26.8,16.1,NA
64,"Roach",200,22.1,23.5,26.8,27.6,15.4,"female"
65,"Roach",110,19.1,20.8,23.1,26.7,14.7,"female"
66,"Perch",32,12.5,13.7,14.7,24,13.6,NA
67,"Common Bream",600,29.4,32,37.2,40.2,13.9,"male"
68,"Common Bream",700,30.4,33,38.5,38.8,13.5,NA
69,"Perch",110,20,22,23.5,23.5,17,"female"
70,"Whitefish",270,23.6,26,28.7,29.2,14.8,NA
71,"Perch",130,20.5,22.5,24,24.4,15.1,"female"
72,"Smelt",6.7,9.3,9.8,10.8,16.1,9.7,"male"
73,"Perch",150,20.5,22.5,24,28.3,15.1,"female"
74,"Perch",650,36.5,39,41.4,26.9,14.5,NA
75,"Whitefish",540,28.5,31,34,31.6,19.3,NA
76,"Smelt",7,10.1,10.6,11.6,14.9,9.9,"male"
77,"Perch",80,17.2,19,20.2,27.9,15.1,NA
78,"Perch",115,19,21,22.5,26.3,14.7,NA
79,"Common Bream",450,26.8,29.7,34.7,39.2,14.2,NA
80,"Perch",70,15.7,17.4,18.5,24.8,15.9,NA
81,"Perch",110,19,21,22.5,25.3,15.8,NA
82,"Common Bream",620,31.5,34.5,39.7,39.1,13.3,NA
83,"Roach",290,24,26,29.2,30.4,15.4,NA
84,"Perch",300,26.9,28.7,30.1,25.2,15.4,"female"
85,"Perch",85,18.2,20,21,24.2,13.2,NA
86,"Pike",540,40.1,43,45.8,17,11.2,NA
87,"Pike",345,36,38.5,41,15.6,9.7,"male"
88,"Perch",145,22,24,25.5,25,15,NA
89,"Perch",820,37.1,40,42.5,26.2,15.6,"female"
90,"Common Bream",714,32.7,36,41.5,39.8,14.1,NA
91,"Silver Bream",90,16.3,17.7,19.8,37.4,13.5,"male"
92,"Perch",514,30.5,32.8,34,29.5,17.7,NA
93,"Common Bream",925,36.2,39.5,45.3,41.4,14.9,"male"
94,"Perch",145,20.7,22.7,24.2,24.6,15,NA
95,"Perch",690,34.6,37,39.3,26.9,16.2,"female"
96,"Perch",85,17.8,19.6,20.8,24.7,14.6,NA
97,"Perch",265,25.4,27.5,28.9,24.4,15,NA
98,"Perch",197,23.5,25.6,27,24.3,15.7,NA
99,"Silver Bream",273,23,25,28,39.6,14.8,"female"
