ID Tender;tahun;Agency;Satuan Kerja;Nama Paket;Pagu;thn_pengumuman;bln_pengumuman;Kode Anggaran;Akun;E1;JenisBelanja;Kategori;Sistem_pengadan;HPS;jumlah_paket;sistem_pengadaan;metode_pengadaan;metode_evaluasi;cara_pembayaran;kualifikasi_usaha;sumber_dana;status_penyedia;tkdn;jadwal_awal_pengadaan;jadwal_akhir_pengadaan;lokasi;propinsi;pernah_gagal
21520011;2018;Kementerian Keuangan;KANTOR WILAYAH DJP SUMATERA UTARA I;Jasa Pengelolaan Gedung Kanwil DJP Sumatera Utara I dan KPP di Medan;3274040000;2017;11;015.04.119660.00.07.00.0000.000.000.520000;520000;04 - DJP;Barang;Jasa Lainnya;Tender;2524947522;1;Lelang Umum ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil atau Non Kecil;APBN;penyedia murni;tidak;2017-10-25;2018-01-01;-;-;0
21594011;2018;Kementerian Keuangan;KANTOR PELAYANAN PAJAK PRATAMA CILEUNGSI;Pengadaan Jasa Konsultasi Perencanaan Renovasi Lantai, TPT, dan Tampak Depan Gedung Kantor;169238000;2017;11;015.04.636075.00.02.00.0000.000.000.530000;530000;04 - DJP;Modal;Jasa Konsultasi;Tender;130063000;1;Seleksi Sederhana ; Pascakualifikasi Satu File ; Pagu Anggaran;Persentase;;APBN;penyedia murni;tidak;2017-10-19;2018-01-06;-;-;0
21607011;2018;Kementerian Keuangan;DIREKTORAT JENDERAL PERIMBANGAN KEUANGAN;Pengadaan Sewa Mesin Fotokopi Digital;816000000;2017;11;015.06.440941.00.01.00.0000.000.000.520000;520000;06 - DJPK;Barang;Jasa Lainnya;Tender;687173300;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Gabungan Lumsum dan Harga Satuan;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-11-19;2018-01-08;-;-;0
21611011;2018;Kementerian Keuangan;SEKRETARIAT JENDERAL;Penyediaan Surat Kabar, Tabloid dan Majalah Tahun Anggaran 2018;438000000;2017;11;015.01.409294.00.01.00.0000.000.000.520000;520000;01 - SETJEN;Barang;Pengadaan Barang;Tender;433015000;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Lumsum;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-11-19;2018-03-30;-;-;0
21620011;2018;Kementerian Keuangan;SEKRETARIAT JENDERAL;Pekerjaan Pengadaan Sewa Mesin Fotokopi Sekretariat Jenderal Kementerian Keuangan TA 2018;4671909000;2017;11;015.01.409294.00.01.00.0000.000.000.520000;520000;01 - SETJEN;Barang;Jasa Lainnya;Tender Cepat;4260244560;1;Tender Cepat ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil atau Non Kecil;APBN;penyedia murni;tidak;2017-11-02;2018-01-01;-;-;1
21623011;2018;Kementerian Keuangan;PUSAT PENDIDIKAN DAN PELATIHAN PENGEMBANGAN SUMBER DAYA MANUSIA  BPPK;Pengadaan ATK Diklat;727575000;2017;11;015.11.675709.00.01.00.0000.000.000.520000;520000;11 - BPPK;Barang;Pengadaan Barang;Tender;675675848;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-11-19;2018-01-01;-;-;0
21634011;2018;Kementerian Keuangan;PUSAT PENDIDIKAN DAN PELATIHAN PENGEMBANGAN SUMBER DAYA MANUSIA  BPPK;Pengadaan Tas Diklat;1172000000;2017;11;015.11.675709.00.01.00.0000.000.000.520000;520000;11 - BPPK;Barang;Pengadaan Barang;Tender;1030299000;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Lumsum;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-11-19;2018-01-01;-;-;0
21643011;2018;Kementerian Keuangan;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;Pengadaan Jasa Pendukung Kegiatan Operasional Perkantoran (Tenaga Office Boy) KPDJP TA 2018;4685012010;2017;11;015.04.119091.00.01.00.0000.000.000.520000;520000;04 - DJP;Barang;Jasa Lainnya;Tender;4676549871;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil atau Non Kecil;APBN;penyedia murni;tidak;2017-11-20;2017-12-30;-;-;0
21655011;2018;Kementerian Keuangan;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;Pengadaan Jasa Sewa Kendaraan Roda Enam Kantor Pusat Direktorat Jenderal Pajak Tahun Anggaran 2018;6342000000;2017;11;015.04.119091.00.01.00.0000.000.000.520000;520000;04 - DJP;Barang;Jasa Lainnya;Tender;3208223295;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil atau Non Kecil;APBN;penyedia murni;tidak;2017-11-20;2017-12-30;-;-;0
21659011;2018;Kementerian Keuangan;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;Jasa Pendukung Kegiatan Operasional Perkantoran (Manj Sopir, Resepsionis & Operator Telepon) TA 2018;3429368039;2017;11;015.04.119091.00.01.00.0000.000.000.520000;520000;04 - DJP;Barang;Jasa Lainnya;Tender;3420904895;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil atau Non Kecil;APBN;penyedia murni;tidak;2017-11-20;2017-12-30;-;-;0
21675011;2018;Kementerian Keuangan;KANTOR PUSAT DIREKTORAT JENDERAL PAJAK;Pengadaan Surat Kabar dan Majalah Pada Kantor Pusat Direktorat Jenderal Pajak Tahun Anggaran 2018;810411481;2017;11;015.04.119091.00.01.00.0000.000.000.520000;520000;04 - DJP;Barang;Pengadaan Barang;Tender;810411481;1;Lelang Sederhana ; Pascakualifikasi Satu File ; Harga Terendah Sistem Gugur;Harga Satuan;Perusahaan Kecil;APBN;penyedia murni;tidak;2017-11-20;2017-12-30;-;-;0
